"n-1" "n" "frequency"
"are" "not" 1130
"of" "us" 1129
"by" "a" 1127
"up" "in" 1125
"i" "guess" 1124
"wait" "to" 1122
"of" "those" 1121
"it" "has" 1119
"off" "the" 1115
"are" "a" 1115
"around" "the" 1112
"to" "hear" 1111
"according" "to" 1109
"we" "will" 1105
"and" "my" 1105
"she" "is" 1093
"after" "the" 1089
"and" "in" 1088
"in" "and" 1085
"a" "year" 1081
"and" "he" 1077
"to" "use" 1073
"you" "guys" 1069
"been" "a" 1068
"be" "in" 1068
"he" "has" 1067
"looking" "forward" 1066
"don't" "have" 1065
"you" "i" 1064
"during" "the" 1064
"to" "give" 1064
"people" "who" 1063
"to" "your" 1061
"we" "had" 1059
"if" "the" 1056
"to" "start" 1055
"the" "rest" 1055
"in" "their" 1054
"did" "not" 1054
"with" "me" 1053
"who" "is" 1053
"may" "be" 1050
"the" "game" 1048
"ready" "to" 1047
"you" "need" 1041
"for" "all" 1038
"the" "past" 1038
"is" "my" 1038
"new" "york" 1032
"and" "i'm" 1030
"have" "you" 1026
"you" "should" 1016
"think" "i" 1014
"year" "old" 1014
"up" "on" 1013
"about" "to" 1010
"this" "weekend" 1006
"the" "top" 1005
"love" "the" 1005
"back" "in" 1005
"up" "for" 999
"be" "able" 999
"i'm" "going" 998
"out" "there" 998
"and" "not" 996
"this" "morning" 996
"had" "been" 996
"of" "these" 993
"instead" "of" 992
"thanks" "to" 987
"well" "as" 980
"it" "out" 978
"having" "a" 976
"them" "to" 976
"come" "to" 975
"couple" "of" 975
"then" "i" 975
"do" "i" 967
"such" "as" 964
"what" "the" 964
"i" "see" 963
"the" "house" 962
"when" "he" 960
"last" "year" 958
"too" "much" 953
"out" "and" 952
"my" "favorite" 952
"if" "they" 951
"was" "in" 951
"of" "that" 948
"how" "much" 947
"of" "her" 945
"went" "to" 944
"and" "his" 943
"the" "whole" 943
"not" "be" 942
"to" "play" 935
"is" "no" 934
"it" "all" 934
"those" "who" 932
"when" "we" 931
"wish" "i" 931
"to" "this" 930
"is" "one" 926
"need" "a" 926
"i'll" "be" 926
"the" "people" 921
"love" "it" 921
"and" "all" 918
"time" "for" 917
"and" "to" 916
"first" "time" 913
"you" "were" 912
"like" "that" 906
"that" "would" 906
"when" "it" 904
"for" "some" 904
"than" "the" 904
"to" "watch" 901
"the" "fact" 900
"we" "need" 900
"in" "an" 899
"to" "our" 896
"so" "far" 896
"a" "day" 895
"happy" "birthday" 894
"hard" "to" 893
"if" "you're" 892
"as" "it" 890
"down" "the" 887
"the" "year" 886
"rest" "of" 884
"can" "you" 884
"the" "follow" 884
"he" "had" 882
"years" "ago" 881
"the" "book" 881
"i" "miss" 879
"when" "they" 874
"decided" "to" 873
"know" "how" 873
"this" "was" 871
"who" "are" 871
"enough" "to" 871
"said" "the" 870
"good" "morning" 867
"was" "not" 867
"must" "be" 866
"all" "i" 864
"if" "it" 864
"in" "that" 861
"get" "it" 860
"i" "saw" 860
"my" "own" 859
"it" "up" 857
"like" "i" 855
"does" "not" 853
"will" "have" 853
"i" "should" 853
"away" "from" 852
"ready" "for" 850
"the" "city" 849
"is" "just" 846
"this" "time" 843
"have" "no" 843
"i'm" "a" 842
"looks" "like" 841
"i" "still" 841
"it" "a" 839
"for" "it" 838
"listening" "to" 837
"i" "used" 834
"from" "my" 834
"talking" "about" 832
"as" "we" 831
"am" "i" 831
"that" "are" 830
"might" "be" 829
"the" "second" 829
"so" "that" 829
"a" "week" 828
"of" "what" 825
"for" "an" 824
"got" "to" 824
"each" "other" 823
"make" "sure" 823
"you" "like" 822
"working" "on" 819
"a" "while" 817
"are" "so" 817
"before" "the" 815
"can" "do" 813
"about" "a" 810
"fact" "that" 810
"to" "put" 809
"like" "it" 808
"lol" "i" 807
"if" "we" 807
"say" "that" 805
"makes" "me" 804
"wants" "to" 802
"not" "sure" 802
"on" "it" 802
"you" "can't" 801
"as" "you" 799
"up" "a" 799
"and" "is" 797
"for" "that" 796
"was" "so" 795
"today" "i" 795
"you" "a" 795
"at" "this" 794
"don't" "want" 793
"know" "i" 792
"you" "all" 792
"this" "one" 791
"the" "story" 791
"and" "it's" 790
"better" "than" 790
"my" "mom" 790
"and" "so" 789
"high" "school" 787
"to" "it" 786
"bit" "of" 786
"and" "have" 785
"or" "the" 784
"on" "twitter" 782
"time" "and" 782
"i" "wanted" 782
"with" "her" 781
"to" "meet" 781
"there" "were" 781
"but" "it's" 780
"just" "got" 780
"as" "much" 779
"it" "the" 779
"for" "our" 778
"a" "man" 774
"i" "never" 774
"is" "on" 773
"i" "haven't" 773
"a" "small" 773
"with" "your" 773
"make" "the" 773
"going" "on" 773
"number" "of" 772
"day" "i" 772
"but" "not" 769
